tracking_state,pos_x,pos_y,pos_z,q_x,q_y,q_z,q_w
TrackingState.READY,75.34986877441406,8.902533531188965,32.918792724609375,0.4956173188871498,0.5078427982338912,-0.503293413945892,-0.493107397003709
TrackingState.READY,74.38485717773438,8.894784927368164,32.91780090332031,0.49786519292580406,0.5063431483537153,-0.5012028441694655,-0.4945124617081329
TrackingState.READY,73.40473937988281,8.891524314880371,32.91648864746094,0.4985376967575637,0.5036512982114273,-0.5006529462959206,-0.4971339478317903
TrackingState.READY,72.37832641601562,8.891302108764648,32.91670608520508,-0.49855778295452624,-0.5011588103229256,0.5007732278937086,0.4995059139951131
TrackingState.READY,71.30513763427734,8.893489837646484,32.91756820678711,-0.498430730160873,-0.49919209009281873,0.5010143530997789,0.501356841389516
TrackingState.READY,70.18830108642578,8.897470474243164,32.918540954589844,-0.4983912974175739,-0.4978529781037394,0.5011672643558701,0.5025732782288751
TrackingState.READY,69.03290557861328,8.902427673339844,32.92452621459961,-0.49828388702981274,-0.4969843866573735,0.5013087033265079,0.5033977267671667
TrackingState.READY,67.84465026855469,8.907588958740234,32.93242645263672,-0.4978555221049193,-0.4962452430927774,0.5017009155927906,0.504159428267273
TrackingState.READY,66.64000701904297,8.912460327148438,32.94161605834961,-0.4976697898487401,-0.49607301120587033,0.5018320120261199,0.5043817795389396
TrackingState.READY,65.4474105834961,8.916424751281738,32.956298828125,-0.4972735121209987,-0.4959954097806924,0.5020701658907594,0.5046118866433444
TrackingState.READY,64.21981811523438,8.91943359375,32.97210693359375,-0.4960398907456915,-0.4952646429435131,0.5030915075610092,0.5055257612219457
TrackingState.READY,62.96837615966797,8.921380996704102,32.990169525146484,-0.4953855457715108,-0.49522416618986537,0.5035078710128159,0.5057924575261644
TrackingState.READY,61.70359420776367,8.922298431396484,33.009620666503906,-0.49528142338004394,-0.4957323026840213,0.503378117761996,0.5055257325682101
TrackingState.READY,60.43901824951172,8.922377586364746,33.02885818481445,-0.49534974375005875,-0.4963671353884467,0.5030933404512596,0.5051191830316994
